milieudruk,meetnet,standplaatsfactor,milieuvar,afk_milieuvar,meetvar,primair,verklarend,kwaliteitscontrole,variable_set,field_method
5.1 Verdroging via het grondwater,GW_05.1_aq,waterpeil,effectieve neerslag,neerslag,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
5.1 Verdroging via het grondwater,GW_05.1_aq,waterpeil,bodemtextuurklasse,textuur,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
5.1 Verdroging via het grondwater,GW_05.1_aq,waterpeil,grondwaterlichaam,GWL,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
5.1 Verdroging via het grondwater,GW_05.1_aq,waterpeil,kweldruk,kweldruk,stijghoogte,NA,X,NA,piezometerpeil automatisch,uitlezen diverloggers
5.1 Verdroging via het grondwater,GW_05.1_quarries,waterpeil,Jaargemiddelde laagste grondwaterstand in meter TAW - automatische metingen,LG3,stijghoogte,X,NA,NA,grondwaterpeil automatisch,uitlezen diverloggers
5.1 Verdroging via het grondwater,GW_05.1_quarries,waterpeil,Jaargemiddelde hoogste grondwaterstand in meter TAW - automatische metingen,HG3,stijghoogte,X,NA,NA,grondwaterpeil automatisch,uitlezen diverloggers
5.1 Verdroging via het grondwater,GW_05.1_quarries,waterpeil,effectieve neerslag,neerslag,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
5.1 Verdroging via het grondwater,GW_05.1_quarries,waterpeil,bodemtextuurklasse,textuur,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
5.1 Verdroging via het grondwater,GW_05.1_quarries,waterpeil,grondwaterlichaam,GWL,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
3.2. Eutrofiëring via de bodem,SOIL_03.2,N,nitraatconcentratie,NO3,nitraatconcentratie,X,NA,NA,standaardpakket labo bodem,te bepalen
3.2. Eutrofiëring via de bodem,SOIL_03.2,N,ammoniumconcentratie,NH4,ammoniumconcentratie,X,NA,NA,standaardpakket labo bodem,te bepalen
3.2. Eutrofiëring via de bodem,SOIL_03.2,N,totale stikstofconcentratie,N,concentratie totaal stikstof,X,NA,NA,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N,C/N-verhouding,C/N,concentraties totaal koolstof en totaal stikstof,X,NA,NA,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,P,plantbeschikbaar fosfor,P-Olsen,orthofosfaatconcentratie in NaHCO3-extract,X,NA,NA,P-pakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,P,fosfaatverzadigingsgraad,FBV,"FVG = Pox/0.5(Feox+Alox)*100: oxalaatextraheerbaar P, Fe en Al",X,NA,NA,P-pakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,P,fosforconcentratie,P,totale fosforconcentratie,X,NA,NA,P-pakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,N/P-verhouding,N/P,concentraties totaal N en totaal P,X,NA,NA,standaardpakket labo bodem + P-pakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,nutriëntenhuishouding,(semi-)totaal K,NA,NA,X,NA,analyse totaal kationen,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,nutriëntenhuishouding,(semi-)totaal Ca,NA,NA,X,NA,analyse totaal kationen,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,nutriëntenhuishouding,(semi-)totaal Mg,NA,NA,X,NA,analyse totaal kationen,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,nutriëntenhuishouding,(semi-)totaal Mn,NA,NA,X,NA,analyse totaal kationen,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,nutriëntenhuishouding,(semi-)totaal S,NA,NA,X,NA,analyse totaal kationen,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,kationenuitwisselingscapaciteit,CEC,CEC rechtstreeks bepaald,NA,X,NA,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,basenverzadiging: uitwisselbaar natrium,Na uitwisselbaar,natriumconcentratie na extractie,NA,X,NA,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,basenverzadiging: uitwisselbaar kalium,K uitwisselbaar,kaliumconcentratie na extractie,NA,X,NA,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,basenverzadiging: uitwisselbaar calcium,Ca uitwisselbaar,calciumconcentratie na extractie,NA,X,NA,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,basenverzadiging: uitwisselbaar magnesium,Mg uitwisselbaar,magnesiumconcentratie na extractie,NA,X,NA,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,"som van uitwisselbare kationen: kalium, calcium, magnesium",K+Ca+Mg uitwisselbaar,"natrium-, kalium-, calcium- en magnesiumconcentratie na extractie",NA,X,NA,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,"Belgische bodemclassificatie: textuur, vochttrap, profielontwikkeling",bodemklasse,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,organische koolstof,TOC,concentratie organische koolstof,NA,X,NA,analyse organische koolstof,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,bodemtextuurklasse,textuur,deeltjesgrootteverdeling,NA,X,NA,analyse textuur,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,bodemzuurtegraad,pH CaCl2 of pH KCl,pH CaCl2 of pH KCl,NA,X,X,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,basenverzadiging: uitwisselbaar Al,Al uitwisselbaar,aluminiumconcentratie na extractie,NA,NA,X,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,basenverzadiging: uitwisselbaar Fe,Fe uitwisselbaar,ijzerconcentratie na extractie,NA,NA,X,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.2. Eutrofiëring via de bodem,SOIL_03.2,N en P,basenverzadiging: uitwisselbaar Mn,Mn uitwisselbaar,mangaanconcentratie na extractie,NA,NA,X,standaardpakket labo bodem,bemonsteren bodem via oppervlaktemonsters
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N,jaargemiddelde nitraatconcentratie,NO3,nitraatconcentratie,X,NA,NA,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,P,jaargemiddelde totale fosforconcentratie,TP,totaal fosfor,X,NA,NA,analyse totaal P in water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,sulfaatconcentratie,SO4,sulfaatconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,calciumconcentratie,Ca,calciumconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,magnesiumconcentratie,Mg,magnesiumconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,kaliumconcentratie,K,kaliumconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,natriumconcentratie,Na,natriumconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,chlorideconcentratie,Cl,chlorideconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,nitrietconcentratie,NO2,nitrietconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,ijzerconcentratie,Fe,ijzerconcentratie,NA,X,X,analyse metalen water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,siliciumconcentratie,Si,siliciumconcentratie,NA,X,X,analyse metalen water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,zuurstofconcentratie - veld,O2-veld,zuurstofconcentratie - veld,NA,X,NA,standaardpakket veld oppervlaktewater,veldmeting stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,temperatuur - veld,T-veld,temperatuur - veld,NA,X,NA,standaardpakket veld oppervlaktewater,veldmeting stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,zuurtegraad - veld,pH-veld,zuurtegraad - veld,NA,X,NA,standaardpakket veld oppervlaktewater,veldmeting stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,geleidend vermogen (EC25) - veld,EC-veld,geleidend vermogen (EC25) - veld,NA,X,NA,standaardpakket veld oppervlaktewater,veldmeting stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,Secchi-diepte,Secchi,Secchi-diepte,NA,X,NA,standaardpakket veld oppervlaktewater,bepaling Secchi-diepte
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,chemisch zuurstofverbruik (COD),CZV=COD,Chemisch zuurstofverbruik (COD),NA,X,NA,analyse COD,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,alkaliniteit,alkaliniteit,alkaliniteit,NA,X,NA,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,totale stikstofconcentratie,TN,totale stikstofconcentratie,NA,X,NA,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,ammoniumconcentratie,NH4,ammoniumconcentratie,NA,X,NA,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,orthofosfaatconcentratie,PO4,orthofosfaatconcentratie,NA,X,NA,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,aluminiumconcentratie,Al,aluminiumconcentratie,NA,X,NA,analyse metalen water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,mangaanconcentratie,Mn,mangaanconcentratie,NA,X,NA,analyse metalen water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,zwavelconcentratie,S,zwavelconcentratie,NA,X,NA,analyse metalen water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,bicarbonaatconcentratie,HCO3,bicarbonaatconcentratie,NA,X,NA,analyse bicarbonaat,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,"concentratie niet purgeerbare, organisch gebonden koolstof",NPOC,"concentratie niet purgeerbare, organisch gebonden koolstof",NA,X,NA,te bepalen,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,absorptie 440 nm,abs440,absorptie 440 nm,NA,X,NA,spectrofotometer,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,chlorofyl a,chla,chlorofyl a-concentratie,NA,X,NA,analyse phytochemie,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,zwevende stoffen (105 °C),ZS105,ZS.105 (zwevende stoffen),NA,X,NA,ZS-pakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,zwevende stoffen (550 °C),ZS550,ZS.550 (zwevende stoffen),NA,X,NA,ZS-pakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,zuurtegraad in labo,pH - labo,pH in labo,NA,NA,X,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lentic,N en P,geleidend vermogen labo,EC - labo,Geleidend vermogen labo,NA,NA,X,standaardpakket labo water,bemonsteren waterkolom stilstaande wateren
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N,nitraatconcentratie: jaargemiddelde,NO3,nitraatconcentratie,X,NA,NA,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,P,orthofosfaatconcentratie: jaargemiddelde,PO4,orthofosfaatconcentratie,X,NA,NA,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,sulfaatconcentratie,SO4,sulfaatconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,calciumconcentratie,Ca,calciumconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,magnesiumconcentratie,Mg,magnesiumconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,kaliumconcentratie,K,kaliumconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,natriumconcentratie,Na,natriumconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,chlorideconcentratie,Cl,chlorideconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,nitrietconcentratie,NO2,nitrietconcentratie,NA,X,X,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,ijzerconcentratie,Fe,ijzerconcentratie,NA,X,X,analyse metalen water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,siliciumconcentratie,Si,siliciumconcentratie,NA,X,X,analyse metalen water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,zuurstofconcentratie - veld,O2-veld,zuurstofconcentratie - veld,NA,X,NA,standaardpakket veld oppervlaktewater,veldmeting waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,temperatuur - veld,T-veld,temperatuur - veld,NA,X,NA,standaardpakket veld oppervlaktewater,veldmeting waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,zuurtegraad - veld,pH-veld,zuurtegraad - veld,NA,X,NA,standaardpakket veld oppervlaktewater,veldmeting waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,geleidend vermogen (EC25) - veld,EC-veld,geleidend vermogen (EC25) - veld,NA,X,NA,standaardpakket veld oppervlaktewater,veldmeting waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,Secchi-diepte,Secchi,Secchi-diepte,NA,X,NA,standaardpakket veld oppervlaktewater,bepaling Secchi-diepte
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,biologisch zuurstofverbruik (BOD5 = BZV),BOD5=BZV=BOD,Biologisch zuurstofverbruik (BOD5 = BZV),NA,X,NA,analyse BOD,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,chemisch zuurstofverbruik (COD),CZV=COD,Chemisch zuurstofverbruik (COD),NA,X,NA,analyse COD,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,alkaliniteit,alkaliniteit,alkaliniteit,NA,X,NA,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,totale stikstofconcentratie,TN,totale stikstofconcentratie,NA,X,NA,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,ammoniumconcentratie,NH4,ammoniumconcentratie,NA,X,NA,standaardpakket veld oppervlaktewater,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,aluminiumconcentratie,Al,aluminiumconcentratie,NA,X,NA,analyse metalen water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,mangaanconcentratie,Mn,mangaanconcentratie,NA,X,NA,analyse metalen water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,zwavelconcentratie,S,zwavelconcentratie,NA,X,NA,analyse metalen water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,bicarbonaatconcentratie,HCO3,bicarbonaatconcentratie,NA,X,NA,analyse bicarbonaat,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,"concentratie niet purgeerbare, organisch gebonden koolstof",NPOC,"concentratie niet purgeerbare, organisch gebonden koolstof",NA,X,NA,te bepalen,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,zwevende stoffen (105 °C),ZS105,ZS.105 (zwevende stoffen),NA,X,NA,ZS-pakket labo,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,zwevende stoffen (550 °C),ZS550,ZS.550 (zwevende stoffen),NA,X,NA,ZS-pakket labo,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,zuurtegraad in labo,pH - labo,Zuurtegraad in labo,NA,NA,X,standaardpakket labo water,bemonsteren waterkolom waterlopen
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,geleidend vermogen labo,EC - labo,Geleidend vermogen labo,NA,NA,X,standaardpakket labo water,bemonsteren waterkolom waterlopen
