Vegcode	Totaalindex	Volledige.naam	Verkorte.naam	Typeklasse	HoofdLogical	Hoofdtype	EurBeschermd	HMmilieudrukken	AbiotToetsingskader	Zeldzaamheid	Algemeenheid	RelevanteSpp	EurPrioritair	RelBelangVL_Eur	RLstatusEur	StructFunct_oordeel2013	PC1	PC2	PC3	Groepen2	Groepen3	Groepen4
rbbhf	0.31079882740756637	moerasspirearuigte met graslandkenmerken (en daardoor niet behorend tot habitattype 6430) - inclusief Kempens subtype (zuur)	moerasspirearuigte met graslandkenmerken	(Half-)natuurlijke graslanden	TRUE	rbbhf	0	0.4038461538461539	0.11339557554763265	1.027651224655224e-5	0.7050987054801279	0.504424778761062	0	0.5	0.4	0.3	-1.068141132573487	0.6125966341537887	0.013691040049301096	1	1	2
rbbms	0.3143664501642725	kleine zeggenvegetaties niet vervat in overgangsveen (type 7140)	kleine zeggenvegetaties niet vervat in 7140	Moerassen	TRUE	rbbms	0	0.4537037037037037	0.08221179227203367	0.28119698414185795	0.15675937742675988	0.336283185840708	0	0.5	0.4	0.3	-1.2740039247363346	-0.1780802916424275	-0.015749559478466468	1	1	2
9110	0.31876042385215136	Beukenbossen van het type Luzulo-Fagetum	veldbies-beukenbossen	Bossen en struwelen	TRUE	9110	1	0.39772727272727276	0.13922778191600915	7.462556643748542e-4	0.4502638388080488	0.39823008849557523	0	0	0.7	0.5	-0.5202008211851465	-0.34402686303913643	-1.1397222002119243	1	1	2
rbbmr	0.32553224086789956	rietland en andere vegetaties van het rietverbond (indien niet vervat onder habitattype 6430)	rietland en andere Phragmition-vegetaties niet vervat in 6430	Moerassen	TRUE	rbbmr	0	0.25925925925925924	0.11339557554763265	2.26086521247032e-23	0.999983892542355	0.7876106194690266	0	0.5	0.4	0.3	-0.8801065103419425	1.926118880721506	-0.005742491387503401	1	1	2
2120	0.332775504153829	Wandelende duinen op de strandwal met Ammophila arenaria (‘witte duinen’)	witte duinen	Kustduinen	TRUE	2120	1	0.4605263157894737	0.20159534846720711	3.290193118355342e-5	0.6412467468602763	0.23008849557522124	0	0.5	0.5	1	-0.8191805815829007	-0.8821279906537192	-0.016103809385616227	1	1	2
1310_zk	0.3423055705255296	buitendijks laag schor met zeekraalvegetaties	buitendijks laag schor	Kust- en zilte habitats	FALSE	1310	1	0.3620689655172414	0.20191355033736624	0.40664534104313305	0.14495114603886136	0.2920353982300885	0	0.5	0.7	0.5	-0.41752529057022647	-0.9143500261785495	-0.8056821382249295	1	1	2
3140	0.3429985266308989	Kalkhoudende oligo-mesotrofe wateren met benthische Chara spp. vegetaties	kranswierwateren	Zoete en brakke wateren	TRUE	3140	1	0.1875	0.29043152512709997	7.033354415894365e-4	0.45393198666135093	0.7964601769911505	0	0.5	0.7	0	0.18293859853026784	1.4441846000679406	-0.6950719078918501	1	1	2
9130_end	0.3430050199068521	Atlantisch neutrofiel beukenbos gekenmerkt door een uitgesproken Atlantische invloed (Endymio-Fagetum)	atlantisch neutrofiel beukenbos	Bossen en struwelen	FALSE	9130	1	0.375	0.37704028869587886	1.976489572034278e-27	0.9999984424633275	0.35398230088495575	0	1	0.5	0.5	-0.22928893182902785	-0.38457759554555226	0.5445235537113964	1	1	2
2190_a	0.34372529360625786	habitatwaardige plassen in vochtige duinvalleien (nog te officialiseren subtype, zie Steven De Saeger)	duinplassen	Kustduinen	FALSE	2190	1	0.0625	0.5811523246816173	0.769829187783352	0.12627334017503125	0.061946902654867256	0	0.5	0.7	1	0.49011748888513756	-2.374335226203525	0.9960434289003962	1	1	2
1330_da	0.34487645697531577	buitendijkse schorren	buitendijkse schor	Kust- en zilte habitats	FALSE	1330	1	0.3620689655172414	0.25829313624102374	0.03383830657592865	0.2399096587634485	0.4336283185840708	0	0.5	0.7	0.5	-0.1524437343159655	-0.23368554542269768	-0.7521893791558577	1	1	2
7220	0.34591304785697197	Kalktufbronnen met tufsteenformatie (Cratoneurion)	kalktufbronnen	Moerassen	TRUE	7220	1	0.3888888888888889	0.17327538202304069	1	0	0	1	0	0.7	0.5	-0.7068768037043147	-2.333492617160965	-0.6888576117903257	1	1	2
rbbsf	0.3466825030589208	vochtig wilgenstruweel op voedselrijke bodem (indien niet vervat in habitattype 91E0)	vochtig wilgenstruweel op voedselrijke bodem niet vervat in 91E0	Bossen en struwelen	TRUE	rbbsf	0	0.4537037037037037	0.08504668166072446	3.8212323148052423e-13	0.9942256758413733	0.6194690265486725	0	0.5	0.4	0.3	-1.0632860075285646	1.2230151749174054	-0.2443314135234478	1	1	2
rbbzil	0.35094372495307535	zilverschoongrasland zonder zilte elementen (valt onder soortenrijk permanent cultuurgrasland hp* en hpr*)	zilverschoongrasland zonder zilte elementen	(Half-)natuurlijke graslanden	TRUE	rbbzil	0	0.4375	0.09638623921548772	0.011185647916614137	0.2939172089569043	0.6460176991150443	0	0.5	0.4	0.3	-1.012969084798477	1.3404326186464206	-0.20754696826119023	1	1	2
rbbso	0.35160306329474944	vochtig wilgenstruweel op venige en zure grond	vochtig wilgenstruweel op venige of zure grond	Bossen en struwelen	TRUE	rbbso	0	0.6086956521739131	0.09922112860417855	0.011137293975745942	0.29414202571151754	0.3893805309734513	0	0.5	0.4	0.3	-1.1711245704529663	0.17363875813243135	-0.24178303289267597	1	1	2
6210_sk	0.35474263534057887	kalkrijke zomen en struwelen	kalkrijke zomen en struwelen	(Half-)natuurlijke graslanden	FALSE	6210	1	0.4166666666666667	0.08504668166072456	0.9801124786375662	0.11976121545863558	0.22123893805309736	1	0	0.7	0	-0.8023112802670772	-1.1891462746249233	-1.1853789916040978	1	1	2
9130_fm	0.35575628852161384	Midden-Europese neutrofiel beukenbos dat voorkomt in het Continentaal gebied op kalkhoudende, rijke bodems met typische aanwezigheid van Eenbloemig parelgras en Lievevrouwebedstro (Parelgras-Beukenbos, Melico-Fagetum)	midden-Europese neutrofiel beukenbos	Bossen en struwelen	FALSE	9130	1	0.375	0.25230515559348293	0.41732902887039025	0.14414944151620304	0.3274336283185841	0	1	0.5	0.5	-0.6107576258843637	-0.47090192316648233	0.1859837647329317	1	1	2
2180	0.35686114804917524	Beboste duinen van het Atlantische, Continentale en Boreale kustgebied	duinbossen	Kustduinen	TRUE	2180	1	0.2692307692307693	0.2664796025369367	0.008266961269316146	0.3098451699035657	0.6814159292035399	0	0.5	0	1	-1.2427198139750797	1.9080316753159867	2.3094583916412734	1	1	2
2330_dw	0.3570776870819917	dwerghaververbond	dwerghavervegetatie	Binnenlandse duinen	FALSE	2330	1	0.2625	0.1474142482119225	0.42252112979195694	0.14376850732166593	0.504424778761062	0	0.5	0.9	0.5	-0.06771604646085219	-0.18254550615427192	-1.886959708799497	1	1	2
2190_overig	0.364452507696516	2190-habitat dat niet gedekt is door 2190_mp en 2190_a (nog te officialiseren subtype, zie Steven De Saeger)	vochtige duinvalleien - overig	Kustduinen	FALSE	2190	1	0.1206896551724138	0.5871403053291581	0.769829187783352	0.12627334017503125	0.061946902654867256	0	0.5	0.7	1	0.5133322902461542	-2.340844472256552	0.9266674392308077	1	1	2
rbbkam	0.37506558894165326	soortenrijk kamgrasgrasland (valt onder soortenrijk permanent cultuurgrasland hp* en hpr*)	kamgrasgrasland	(Half-)natuurlijke graslanden	TRUE	rbbkam	0	0.47115384615384615	0.08504668166072446	4.6180353355197384e-10	0.9668901823429927	0.6460176991150443	0	0.5	0.7	0.3	-0.4931483412619435	0.9474234702202653	-1.623311186626419	1	2	2
3160	0.37645624773797504	Dystrofe natuurlijke poelen en meren	zure vennen	Zoete en brakke wateren	TRUE	3160	1	0.32407407407407407	0.14773245008208163	0.16687928424654058	0.1747840109746855	0.6017699115044248	0	0	0.5	1	-0.7235865385044349	0.894027349519715	-0.2863554478194909	1	2	2
1140	0.3796922223201404	Bij eb droogvallende slikwadden en zandplaten	slik- en zandplaten	Kust- en zilte habitats	TRUE	1140	1	0.6666666666666666	0.15308402698930407	5.7885579799605035e-19	0.9997962866728612	0.38053097345132747	0	0	0.4	0.3	-1.015132310714691	0.1458598937991071	-0.15726762213166237	1	2	2
7210	0.3895572420270063	Kalkhoudende moerassen met Cladium mariscus en soorten van het Caricion davallianae	galigaanmoerassen	Moerassen	TRUE	7210	1	0.32407407407407407	0.1672874013754999	0.9859438169866486	0.11960496713843609	0.25663716814159293	1	0	0.9	0.5	-0.1809817968057389	-1.3788599089151112	-1.7114649880688881	1	2	2
2130_hd	0.3909156795047909	duingraslanden van kalkrijke milieus	kalkrijke duingraslanden	Kustduinen	FALSE	2130	1	0.2916666666666667	0.7118754384315543	2.1212131337044758e-5	0.6660823741127315	0.30973451327433627	1	1	0.7	0.5	1.070069646318354	-1.0543431971108745	0.8423107306082883	1	2	2
2330_bu	0.39152069484901114	buntgrasverbond	buntgrasvegetatie	Binnenlandse duinen	FALSE	2330	1	0.4375	0.21576979541066127	6.451206626634582e-7	0.8268896219208028	0.5398230088495576	0	0.5	0.9	0.5	0.17372177208192824	0.07522620634990133	-1.9715603254161849	1	2	2
9150	0.39363488618843034	Midden-Europese kalkminnende beukenbossen behorende tot het Cephalanthero-Fagion	kalkminnende beukenbossen	Bossen en struwelen	TRUE	9150	1	0.4605263157894737	0.1275700224910867	0.948030381575367	0.12064109647572625	0.35398230088495575	0	0	0.5	0	-0.9457168789948012	-0.24192044105429128	-0.3458726748721274	1	2	2
6430_hf	0.4021924313068403	moerasspireaverbond (moerasspirearuigten)	moerasspirearuigte	(Half-)natuurlijke graslanden	FALSE	6430	1	0.375	0.11087888802910086	0.37872631809274127	0.14716898336430448	0.5221238938053097	0	0.5	0.7	1	-0.5162698044791568	0.2657300245312922	-1.2958181421220316	1	2	2
6210_hk	0.40740891020386827	kalkgrasland (Gentiano-Koelerietum)	kalkgraslanden	(Half-)natuurlijke graslanden	FALSE	6210	1	0.4166666666666667	0.08504668166072456	0.9364098373629228	0.12096857965256076	0.23008849557522124	1	0	0.7	1	-0.7959837929623893	-1.1453299926313205	-1.1927926153528219	1	2	2
1310_pol	0.4199216250785471	binnendijks gelegen zeekraalvegetaties	binnendijkse zeekraalvegetatie	Kust- en zilte habitats	FALSE	1310	1	0.5431034482758621	0.21010001663327968	0.6895187608871142	0.12934360127904512	0.34513274336283184	0	0.5	0.7	0	-0.33768383383917344	-0.5434810595134417	-1.097879193380058	2	2	3
6510_hu	0.421246167353833	glanshavergraslanden (Arrhenaterion)	glanshavergrasland	(Half-)natuurlijke graslanden	FALSE	6510	1	0.28	0.7331298769860485	1.0148370429879896e-14	0.9976609077039029	0.4424778761061947	0	0.5	0.7	0.5	1.2255828059197695	-0.41193703503847484	0.8135644947862744	2	2	3
1320	0.42369035569210545	Schorren met slijkgrasvegetatie (Spartinion maritimae)	slijkgrasvelden	Kust- en zilte habitats	TRUE	1320	1	0.3620689655172414	0.1335580031386275	0.990421271851297	0.11948574018431177	0.30973451327433627	0	0	0.7	1	-0.6035147887228695	-0.8019889749732573	-1.029179306898356	2	2	3
1310_zv	0.4262907508167615	buitendijks hoog schor met zeevetmuurvegetaties (Saginion maritimae)	buitendijks hoog schor	Kust- en zilte habitats	FALSE	1310	1	0.4827586206896552	0.20191355033736624	0.8004429981469785	0.12520164363493455	0.2920353982300885	0	0.5	0.7	0.5	-0.405467775699875	-0.8403948042834799	-0.9874863056716664	2	2	3
2310	0.4265624038574076	Psammofiele heide met Calluna en Genista	psammofiele heide	Binnenlandse duinen	TRUE	2310	1	0.3333333333333333	0.3584688704556795	6.319077965883106e-23	0.9999791733360718	0.7610619469026549	0	1	0.7	0.5	0.3699179094326722	1.3336686582325625	-0.677398906621049	2	2	3
9160	0.42677861267013883	Sub-Atlantische en Midden-Europese wintereikenbossen of eiken-haagbeukbossen behorend tot het Carpinion-betuli	eiken-haagbeukenbossen	Bossen en struwelen	TRUE	9160	1	0.35000000000000003	0.7118754384315539	7.989383930128714e-27	0.9999977915239728	0.4336283185840708	0	0.5	0.5	0.5	0.7982077036239752	-0.12668122091765968	1.5376162517687029	2	2	3
2190_mp	0.42925050476420423	duinpannen met kalkminnende vegetaties	duinpannen (kalkrijk)	Kustduinen	FALSE	2190	1	0.25925925925925924	0.5871403053291581	0.5125235880700623	0.13792726367346714	0.2743362831858407	0	0.5	0.7	1	0.6790357989283274	-1.2043421533453793	0.5400023510818374	2	2	3
6510_huk	0.43295858143054666	kalkrijk kamgrasgrasland (Galio-Trifolietum)	kalkrijk kamgrasgrasland	(Half-)natuurlijke graslanden	FALSE	6510	1	0.31818181818181823	0.5904308019410315	0.27626442223501274	0.15734508849387716	0.4424778761061947	0	0.5	0.7	0.5	0.8147070629542457	-0.33691708963734956	0.32042883385114906	2	2	3
rbbvos	0.43538220456045784	soortenrijk grote vossenstaartgrasland (valt onder soortenrijk permanent cultuurgrasland hp* en hpr*), indien niet vervat in habitattype 6510	grote vossenstaartgrasland niet vervat in 6510	(Half-)natuurlijke graslanden	TRUE	rbbvos	0	0.2916666666666667	0.1275700224910867	0.8962643978318587	0.12213826762663	0.6460176991150443	0	0.5	0.9	0.3	-0.02123061436313719	0.5435664183495078	-2.110092437311421	2	2	3
2150	0.4418119852146186	Atlantische vastgelegde ontkalkte duinen (Calluno-Ulicetae)	duinheiden met struikhei	Kustduinen	TRUE	2150	1	0.5526315789473685	0.11938355619517346	1	0	0.5398230088495576	1	0	0	0	-1.7431145280645666	1.433845061313781	1.5521256719855026	2	2	3
7230	0.4425341719225659	Alkalisch laagveen	kalkmoerassen	Moerassen	TRUE	7230	1	0.32407407407407407	0.20541377090911717	0.948430349634318	0.12062990994205725	0.7256637168141593	0	0	0.4	0	-0.6505143351379954	1.6258328493330476	0.22942251684554107	2	2	3
rbbhc	0.4444662909013721	dotterbloemgrasland	dotterbloemgrasland	(Half-)natuurlijke graslanden	TRUE	rbbhc	0	0.3828125	0.5329592050738734	3.677875673789536e-20	0.9998977130658313	0.5929203539823009	0	0.5	0.9	0.3	1.1279906519772491	0.18986564158696106	-0.9653735713795085	2	2	3
6230_ha	0.44553662025935936	soortenrijke graslanden van het struisgrasverbond	struisgrasland	(Half-)natuurlijke graslanden	FALSE	6230	1	0.4166666666666667	0.6835265445446463	0.03392693572281711	0.23979043058843075	0.504424778761062	1	1	0.7	0	1.1393792728453631	-0.0035329410772058363	0.40437277556741336	2	2	3
2130_had	0.44659979818554607	duingraslanden van kalkarme milieus	kalkarme duingraslanden	Kustduinen	FALSE	2130	1	0.2916666666666667	0.6977009914880987	0.08704929803884982	0.19950433632723658	0.5309734513274336	1	1	0.7	0.5	1.1870652116467673	0.046191638906451164	0.6136996073191945	2	2	3
6510_hua	0.4508489442794123	Grote vossenstaart-graslanden met Weidekervel of Weidekervel-torkruid (Alopecurion)	vossenstaartgrasland	(Half-)natuurlijke graslanden	FALSE	6510	1	0.4666666666666667	0.6252666748627755	0.17215139657677028	0.1736652921579924	0.4424778761061947	0	0.5	0.7	0	0.9307761643637227	-0.25853207542895845	0.2030985651806366	2	2	3
3110	0.4545027368101211	Mineraalarme oligotrofe wateren van de Atlantische zandvlakten (Littorelletalia uniflorae)	zeer zwakgebufferde vennen	Zoete en brakke wateren	TRUE	3110	1	0.375	0.15970841137716324	0.9779662156164094	0.11981900246230859	0.584070796460177	0	0	0.5	0.5	-0.6963510388267566	0.8332683027161696	-0.31168268144275124	2	2	3
3130_aom	0.45715065013964823	oligotrofe tot mesotrofe vijvers en vennen met pioniersgemeenschappen op de kale oever of in de ondiepe oeverzone (oeverkruidgemeenschappen; Littorelletea)	oligotrofe tot mesotrofe vijvers en vennen	Zoete en brakke wateren	FALSE	3130	1	0.625	0.26647960253693526	0.0028568231741141373	0.3693039460417237	0.6017699115044248	0	0.5	0	1	-1.2641240308824206	1.7316905030147955	1.840258281010697	2	2	3
7150	0.4600495813351745	Slenken in veengronden met vegetatie behorend tot het Rhynchosporion	pioniervegetaties met snavelbiezen	Moerassen	TRUE	7150	1	0.20192307692307696	0.55879141144225	0.7374481606637249	0.12746338838022106	0.5398230088495576	0	0.5	0.7	0.5	0.780749005130632	0.085267880951114	0.31742250803012084	2	2	3
7140_oli	0.4719942598103997	oligotroof en zuur overgangsveen	zuur overgangsveen	Moerassen	FALSE	7140	1	0.3125	0.6530080924521069	0.2539896755132776	0.16015168545166436	0.5752212389380531	0	0.5	0.7	0.5	1.0909043136565042	0.29420735260743613	0.4088139973843459	2	2	3
6230_hn	0.4721292673752053	droge heischrale graslanden	droge heischrale graslanden	(Half-)natuurlijke graslanden	FALSE	6230	1	0.4166666666666667	0.7516868315048769	0.04401983186266885	0.22812365095190593	0.3008849557522124	1	1	0.7	1	1.1919241020552709	-1.0359652762773441	0.7829599693424052	2	2	3
3270	0.47310918517946005	Rivieren met slikoevers met vegetaties behorend tot het Chenopodietum rubri p.p. en Bidention p.p.	slikkige rivieroevers	Zoete en brakke wateren	TRUE	3270	1	0.5104166666666667	0.10489090738156019	0.4594287279582147	0.14121046439815715	0.7787610619469026	0	0.5	0.5	0.5	-0.7029197743803792	1.9000369545556286	-0.846113158536109	2	2	3
9120	0.4769768851962959	Atlantische zuurminnende beukenbossen met Ilex en soms ook Taxus in de ondergroei (Quercion robori-petraeae of Ilici-Fagenion)	beuken-eikenbossen met hulst	Bossen en struwelen	TRUE	9120	1	0.32407407407407407	0.40917867758195503	1.9173517383123395e-174	1	0.8761061946902655	0	1	0.5	1	0.23234074560620094	2.157750598525346	0.28194271854664965	2	2	3
6230_hmo	0.4779410338120452	vochtige heischrale graslanden	vochtige heischrale graslanden	(Half-)natuurlijke graslanden	FALSE	6230	1	0.3888888888888889	0.7574940156352814	0.2963632789375492	0.15503124257094986	0.4867256637168142	1	1	0.7	0	1.3389021465519246	-0.13494561697387797	0.6868453579799211	2	2	3
6120	0.4843147764445204	Kalkminnend grasland op dorre zandbodem	stroomdalgraslanden	(Half-)natuurlijke graslanden	TRUE	6120	1	0.65625	0.11119708989926015	0.49423748076853524	0.13901077691154035	0.4867256637168142	1	1	0.9	0.5	-0.14628216420479612	-0.015797141782432245	-2.5758291760110463	2	2	3
6230_hnk	0.4885226343347068	droge, kalkrijkere heischrale graslanden  (Betonica-Brachypodietum)	kalkrijkere heischrale graslanden	(Half-)natuurlijke graslanden	FALSE	6230	1	0.4166666666666667	0.6249484729926164	0.9450368515227031	0.12072499989343571	0.3008849557522124	1	1	0.7	0	0.8236164015522711	-0.9901160656873134	0.39606403529574946	2	2	3
6510_hus	0.4945328519343729	glanshavergraslanden met Grote pimpernel	pimpernelgrasland	(Half-)natuurlijke graslanden	FALSE	6510	1	0.4083333333333334	0.6552065781004796	0.6804267589960078	0.12971776222716158	0.4424778761061947	0	0.5	0.7	0	1.0119551489666343	-0.3051082395356489	0.38236853476485705	2	3	3
7140_base	0.49460932052010187	basenrijk trilveen met Ronde zegge	basenrijk trilveen	Moerassen	FALSE	7140	1	0.1810344827586207	0.7488157828127597	0.9965895787441373	0.11932253532275344	0.4070796460176991	0	0.5	0.7	0.5	1.2359696832314988	-0.6535200205885129	1.040182988025999	2	3	3
8310	0.4981317600786627	Niet voor het publiek opengestelde grotten	grotten	Rotsachtige habitats en grotten	TRUE	8310	1	1	0	1	0	0.1415929203539823	0	0	0.4	0	-1.5975422269229407	-0.7775423497940549	-0.926547296087979	2	3	3
3260	0.4997524193050284	Submontane en laagland rivieren met vegetaties behorend tot het Ranunculion fluitantis en het  Callitricho-Batrachion	beken en rivieren met waterplanten	Zoete en brakke wateren	TRUE	3260	1	0.4375	0.5887313146799539	0.5936498523499498	0.1336170769772087	0.4070796460176991	0	0.5	0.7	0.5	0.7963788205430091	-0.4384525848677159	0.16515706965920957	2	3	3
9190	0.5030256599632591	Oude zuurminnende eikenbossen op zandvlakten met Quercus robur	oude eikenbossen	Bossen en struwelen	TRUE	9190	1	0.33653846153846156	0.7320378660225489	2.2830092404042003e-30	0.9999997128610432	0.6017699115044248	0	0.5	0.7	1	1.3419526235486061	0.41179626670564506	0.5916174104073935	2	3	3
91F0	0.5046647121278981	Gemengde oeverformaties met Quercus robur, Ulmus laevis en Ulmus minor, Fraxinus excelsior of Fraxinus angustifolia, langs de grote rivieren (Ulmenion minoris)	droge hardhoutooibossen	Bossen en struwelen	TRUE	91F0	1	0.6481481481481481	0.1534022288594632	0.829671560085057	0.124222911235887	0.38053097345132747	0	0.5	0.9	0.5	-0.10037128627807958	-0.5618253573251888	-2.3458210351228543	2	3	3
91E0_sf	0.5059691989585337	wilgenvloedbos (zachthoutooibos; Salicetum albae)	wilgenvloedbos	Bossen en struwelen	FALSE	91E0	1	0.47115384615384615	0.6917130108405579	1.9806234255596392e-4	0.5329563656149259	0.6283185840707964	1	1	0.5	0.5	0.8909233402744877	0.9188106622132096	1.1304629944175149	2	3	3
7140_meso	0.5158455774518222	mineraalarm, circum-neutraal overgangsveen	circum-neutraal overgangsveen	Moerassen	FALSE	7140	1	0.42241379310344834	0.8538007043832293	0.11201519660021647	0.18962708013717353	0.47787610619469023	0	0.5	0.7	0.5	1.615795789053188	-0.19305894938795526	0.9377545803784093	2	3	3
6430_mr	0.5190253772742093	ruigere rietlanden in zwak brakke omstandigheden met Echte heemst,  Moeraslathyrus en/of Moerasmelkdistel (brakke rietvegetaties met Echte heemst )	ruiger rietland	(Half-)natuurlijke graslanden	FALSE	6430	1	0.5833333333333334	0.10489090738156005	0.5871102975189224	0.13393797968050747	0.6371681415929203	0	0.5	0.7	1	-0.4306002588738709	0.965168718186096	-1.7243034642974033	2	3	3
4030	0.5330219443743545	Droge Europese heide	droge heide	Heiden	TRUE	4030	1	0.23863636363636362	0.8280335847610231	3.9225563636758196e-41	0.9999999994154016	0.7876106194690266	0	0.5	0.7	1	1.7440170622686226	1.2372188697772932	0.8764562719838654	2	3	4
1330_hpr	0.5376683570327391	binnendijkse zilte vegetaties: zilte graslanden	zilte graslanden	Kust- en zilte habitats	FALSE	1330	1	0.6637931034482759	0.6324985355482113	0.06228484955251671	0.21320626516191155	0.46017699115044247	0	0.5	0.7	0.5	0.9841412111977923	-0.05272219978385156	-0.08659868834496133	2	3	4
6410_mo	0.5381123644585801	blauwgrasland	blauwgrasland	(Half-)natuurlijke graslanden	FALSE	6410	1	0.5384615384615385	0.920471228042263	0.7950912883040969	0.12538544511712146	0.07079646017699115	0	0.5	0.9	0	1.8963474153261322	-2.4401050437319634	0.42052733203245973	2	3	4
91E0_vc	0.5464144783043069	goudveil-essenbos (Carici-Remotae fraxinetum)	goudveil-essenbos	Bossen en struwelen	FALSE	91E0	1	0.63	0.717863419079095	0.007047714368182819	0.31843954011854025	0.4424778761061947	1	1	0.9	0.5	1.582459109747286	-0.4704330608993012	-0.6472399852097497	2	3	4
91E0_vm	0.5541653106039011	mesotroof broekbos op minder voedselrijke standplaatsen (Carici elongatae-Alnetum)	mesotroof broekbos	Bossen en struwelen	FALSE	91E0	1	0.5625000000000001	0.8101708888679972	1.4590632113317987e-22	0.9999743272316122	0.5398230088495576	1	1	0.7	0.5	1.5472932099956176	0.21527954692373436	0.5416471805439472	2	3	4
6430_hw	0.5617409635024505	verbond van Harig wilgenroosje	ruigte en zoom met harig wilgenroosje	(Half-)natuurlijke graslanden	FALSE	6430	1	0.56	0.10489090738156005	0.315886856758935	0.15295338613032233	1	0	0.5	0.7	1	-0.17350439892326652	2.7473382703574254	-1.9931132322887306	2	3	4
