scenario,trend_12yearly_multiplier,avg_nrlocs_pertype_infpop,total_n_finitepop_spatial,total_popsize_spatial,n_N,typegroup,power_conf80,power_conf90,p_power_conf80_0.8_,p_power_conf90_0.9_,periodicity
GW_03.3_S11,2,30,1271,433606,1271/433606,GW_03.3_group4,1 (1 | 1),1 (1 | 1),1,0.8,6
GW_03.3_S12,3,30,1271,433606,1271/433606,GW_03.3_group1,1 (1 | 1),1 (1 | 1),1,1,6
GW_03.3_S12,3,30,1271,433606,1271/433606,GW_03.3_group2,1 (1 | 1),1 (1 | 1),1,1,6
GW_03.3_S12,3,30,1271,433606,1271/433606,GW_03.3_group3,1 (1 | 1),1 (1 | 1),1,1,6
GW_03.3_S12,3,30,1271,433606,1271/433606,GW_03.3_group4,1 (1 | 1),1 (1 | 1),1,1,6
GW_03.3_S13,1,60,2413,433606,2413/433606,GW_03.3_group1,0 (0 | 0),0 (0 | 0),0,0,3
GW_03.3_S13,1,60,2413,433606,2413/433606,GW_03.3_group2,0 (0 | 0),0 (0 | 0),0,0,3
GW_03.3_S13,1,60,2413,433606,2413/433606,GW_03.3_group3,0 (0 | 0),0 (0 | 0),0,0,3
GW_03.3_S13,1,60,2413,433606,2413/433606,GW_03.3_group4,0 (0 | 0),0 (0 | 0),0,0,3
GW_03.3_S14,2,60,2413,433606,2413/433606,GW_03.3_group1,0.2 (0 | 0.6),0 (0 | 0),0.2,0.2,3
GW_03.3_S14,2,60,2413,433606,2413/433606,GW_03.3_group2,1 (1 | 1),0.8 (0.2 | 1),0.8,0.4,3
GW_03.3_S14,2,60,2413,433606,2413/433606,GW_03.3_group3,0.8 (0.8 | 1),0 (0 | 1),0.4,0.4,3
GW_03.3_S14,2,60,2413,433606,2413/433606,GW_03.3_group4,1 (1 | 1),1 (1 | 1),1,0.8,3
GW_03.3_S15,3,60,2413,433606,2413/433606,GW_03.3_group1,1 (1 | 1),1 (1 | 1),1,0.8,3
GW_03.3_S15,3,60,2413,433606,2413/433606,GW_03.3_group2,1 (1 | 1),1 (1 | 1),1,1,3
GW_03.3_S15,3,60,2413,433606,2413/433606,GW_03.3_group3,1 (1 | 1),1 (1 | 1),1,1,3
GW_03.3_S15,3,60,2413,433606,2413/433606,GW_03.3_group4,1 (1 | 1),1 (1 | 1),1,1,3
GW_03.3_S16,1,60,2413,433606,2413/433606,GW_03.3_group1,0 (0 | 0),0 (0 | 0),0,0,6
GW_03.3_S16,1,60,2413,433606,2413/433606,GW_03.3_group2,0 (0 | 0),0 (0 | 0),0,0,6
GW_03.3_S16,1,60,2413,433606,2413/433606,GW_03.3_group3,0 (0 | 0),0 (0 | 0),0,0,6
GW_03.3_S16,1,60,2413,433606,2413/433606,GW_03.3_group4,0 (0 | 0),0 (0 | 0),0,0,6
GW_03.3_S17,2,60,2413,433606,2413/433606,GW_03.3_group1,0.4 (0.2 | 0.4),0 (0 | 0),0.2,0,6
GW_03.3_S17,2,60,2413,433606,2413/433606,GW_03.3_group2,1 (1 | 1),0.6 (0.2 | 0.6),0.8,0.2,6
GW_03.3_S17,2,60,2413,433606,2413/433606,GW_03.3_group3,1 (1 | 1),0.6 (0 | 1),1,0.4,6
GW_03.3_S17,2,60,2413,433606,2413/433606,GW_03.3_group4,1 (1 | 1),1 (0.8 | 1),1,0.6,6
GW_03.3_S18,3,60,2413,433606,2413/433606,GW_03.3_group1,1 (1 | 1),1 (1 | 1),1,1,6
GW_03.3_S18,3,60,2413,433606,2413/433606,GW_03.3_group2,1 (1 | 1),1 (1 | 1),1,1,6
GW_03.3_S18,3,60,2413,433606,2413/433606,GW_03.3_group3,1 (1 | 1),1 (1 | 1),1,1,6
GW_03.3_S18,3,60,2413,433606,2413/433606,GW_03.3_group4,1 (1 | 1),1 (1 | 1),1,1,6
